""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"420"	"AT1G55550.1"	"At1g55550"	"putative Kinesin-14 microtubule-based kinesin motor protein (AtKIN14q)"	"soluble or peripheral protein"	"0"
"421"	"AT1G55630.1"	"At1g55630"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"422"	"AT1G55890.1"	"At1g55890"	"putative component mS78 of small subunit of mitochondrial ribosome (AtmS78/AtPPR3a)"	"soluble or peripheral protein"	"0"
"423"	"AT1G55900.1"	"At1g55900"	"mitochondrial inner membrane translocase component (AtTIM50)"	"membrane protein"	"1"
"424"	"AT1G56350.1"	"At1g56350"	"putative PrfB-type ribosome peptide release factor (AtPrfB2)"	"soluble or peripheral protein"	"0"
"425"	"AT1G56520.1"	"At1g56520"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"426"	"AT1G56540.1"	"At1g56540"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"427"	"AT1G56550.1"	"At1g56550"	"putative rhamnogalacturonan II xylosyltransferase (AtRGXT3)"	"membrane protein"	"2"
"428"	"AT1G56555.1"	"At1g56555"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"429"	"AT1G56560.1"	"At1g56560"	"putative CIN alkaline sucrose-specific invertase (AtInvA)"	"soluble or peripheral protein"	"0"
"430"	"AT1G56570.1"	"At1g56570"	"putative mitochondrial RNA editing factor (AtPGN)"	"soluble or peripheral protein"	"0"
"431"	"AT1G56690.1"	"At1g56690"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"432"	"AT1G57540.1"	"At1g57540"	"protein of unknown function"	"membrane protein"	"2"
"433"	"AT1G57570.1"	"At1g57570"	"putative Jacalin-type lectin (AtJAL14)"	"soluble or peripheral protein"	"0"
"434"	"AT1G57600.1"	"At1g57600"	"putative (yeast GUP1)-like membrane-bound O-acyl transferase"	"membrane protein"	"12"
"435"	"AT1G57610.1"	"At1g57610"	"putative channel component of MCUC calcium uniporter complex (AtMCU2)"	"membrane protein"	"2"
"436"	"AT1G57670.1"	"At1g57670"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"437"	"AT1G57830.1"	"At1g57830"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"438"	"AT1G58122.1"	"At1g58122"	"hypothetical peptide of unknown function"	"soluble or peripheral protein"	"0"
"439"	"AT1G58180.1"	"At1g58180"	"putative beta carbonic anhydrase (AtBCA6)"	"soluble or peripheral protein"	"0"
"440"	"AT1G58230.1"	"At1g58230"	"protein of unknown function, contains BEACH-type domain (AtBchB)"	"soluble or peripheral protein"	"0"
"441"	"AT1G58235.1"	"At1g58235"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"442"	"AT1G58420.1"	"At1g58420"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"443"	"AT1G59590.1"	"At1g59590"	"protein of unknown function"	"membrane protein"	"1"
"444"	"AT1G59900.1"	"At1g59900"	"putative E1 alpha subunit of mitochondrial pyruvate dehydrogenase complex (AtPDH-E1)"	"soluble or peripheral protein"	"0"
"445"	"AT1G60720.1"	"At1g60720"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"446"	"AT1G60770.1"	"At1g60770"	"putative component mL101 of large subunit of mitochondrial ribosome (AtmL101/AtPPR4)"	"soluble or peripheral protein"	"0"
"447"	"AT1G61105.1"	"At1g61105"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"448"	"AT1G61570.1"	"At1g61570"	"mitochondrial inner membrane translocase component (AtTIM13)"	"membrane protein"	"0"
"449"	"AT1G61640.1"	"At1g61640"	"putative ABC1-type atypical kinase (AtABC1K10b)"	"membrane protein"	"5"
"450"	"AT1G61760.1"	"At1g61760"	"putative NDR1/HIN1-like protein (AtNHL5)"	"membrane protein"	"1"
"451"	"AT1G61870.1"	"At1g61870"	"putative component mS76 of small subunit of mitochondrial ribosome (AtmS76/AtPPR1)"	"soluble or peripheral protein"	"0"
"452"	"AT1G61960.1"	"At1g61960"	"putative mTERF-type protein of unknown function (AtmTERF28)"	"soluble or peripheral protein"	"0"
"453"	"AT1G61970.1"	"At1g61970"	"putative mTERF-type protein of unknown function (AtmTERF29)"	"soluble or peripheral protein"	"0"
"454"	"AT1G61980.1"	"At1g61980"	"putative mTERF-type protein of unknown function (AtmTERF30)"	"soluble or peripheral protein"	"0"
"455"	"AT1G61990.1"	"At1g61990"	"putative mTERF-type protein of unknown function (AtmTERF13)"	"soluble or peripheral protein"	"0"
"456"	"AT1G62010.1"	"At1g62010"	"putative mTERF-type protein of unknown function (AtmTERF14)"	"soluble or peripheral protein"	"0"
"457"	"AT1G62085.1"	"At1g62085"	"putative mTERF-type protein of unknown function (AtmTERF24)"	"soluble or peripheral protein"	"0"
"458"	"AT1G62110.1"	"At1g62110"	"putative mTERF-type protein of unknown function (AtmTERF31)"	"soluble or peripheral protein"	"0"
"459"	"AT1G62120.1"	"At1g62120"	"putative mTERF-type protein of unknown function (AtmTERF32)"	"soluble or peripheral protein"	"0"
"460"	"AT1G62150.1"	"At1g62150"	"putative mTERF-type protein of unknown function (AtmTERF20)"	"soluble or peripheral protein"	"0"
"461"	"AT1G62260.1"	"At1g62260"	"putative mitochondrial nad7 mRNA editing factor (AtMEF9)"	"soluble or peripheral protein"	"0"
"462"	"AT1G62301.1"	"At1g62301"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"463"	"AT1G62350.1"	"At1g62350"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"464"	"AT1G62590.1"	"At1g62590"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"465"	"AT1G62600.1"	"At1g62600"	"putative FAD-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"466"	"AT1G62670.1"	"At1g62670"	"putative mitochondrial mRNA processing factor (AtRPF2)"	"soluble or peripheral protein"	"0"
"467"	"AT1G62680.1"	"At1g62680"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"468"	"AT1G62720.1"	"At1g62720"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"469"	"AT1G62730.1"	"At1g62730"	"putative (animal NDUFAF6)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"470"	"AT1G62910.1"	"At1g62910"	"putative mitochondrial mRNA processing factor (AtRPF4)"	"soluble or peripheral protein"	"0"
"471"	"AT1G62914.1"	"At1g62914"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"472"	"AT1G62930.1"	"At1g62930"	"putative mitochondrial mRNA processing factor (AtRPF3)"	"soluble or peripheral protein"	"0"
"473"	"AT1G63060.1"	"At1g63060"	"putative membrane protein of unknown function"	"membrane protein"	"1"
"474"	"AT1G63070.1"	"At1g63070"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"475"	"AT1G63080.1"	"At1g63080"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"476"	"AT1G63130.1"	"At1g63130"	"putative mitochondrial ccmC mRNA processing factor (AtRPF6)"	"soluble or peripheral protein"	"0"
"477"	"AT1G63250.1"	"At1g63250"	"putative DEAD-box RNA helicase (AtRH48)"	"soluble or peripheral protein"	"0"
"478"	"AT1G63270.1"	"At1g63270"	"nucleotide binding subunit of mitochondrial ABC-type transporter (AtABCI1/AtCcmA/AtNAP10)"	"soluble or peripheral protein"	"0"
"479"	"AT1G63300.1"	"At1g63300"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"480"	"AT1G63400.1"	"At1g63400"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"481"	"AT1G63450.1"	"At1g63450"	"putative xyloglucan galacturonosyltransferase (AtGT16/AtXUT1)"	"membrane protein"	"2"
"482"	"AT1G63730.1"	"At1g63730"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"483"	"AT1G64070.1"	"At1g64070"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"484"	"AT1G64100.1"	"At1g64100"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"485"	"AT1G64220.1"	"At1g64220"	"mitochondrial outer membrane translocase component (AtTOM7-2)"	"membrane protein"	"1"
"486"	"AT1G64310.1"	"At1g64310"	"putative mitochondrial RNA editing factor (AtOTP71)"	"soluble or peripheral protein"	"0"
"487"	"AT1G64480.1"	"At1g64480"	"putative calcineurin B-like calcium sensor (AtCBL8)"	"soluble or peripheral protein"	"0"
"488"	"AT1G64580.1"	"At1g64580"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"489"	"AT1G64583.1"	"At1g64583"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"membrane protein"	"2"
"490"	"AT1G64600.1"	"At1g64600"	"putative component mS22 of small subunit of mitochondrial ribosome (AtmS22)"	"soluble or peripheral protein"	"0"
"491"	"AT1G64880.1"	"At1g64880"	"putative component uS5M of small subunit of mitochondrial ribosome (AtmtRPS5)"	"soluble or peripheral protein"	"0"
"492"	"AT1G64960.1"	"At1g64960"	"putative regulatory component of condensin II complex (AtCap-G2/AtHEB1)"	"soluble or peripheral protein"	"0"
"493"	"AT1G65032.1"	"At1g65032"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"494"	"AT1G65080.1"	"At1g65080"	"factor for promoting protein insertion into membranes (AtOxa2a)"	"membrane protein"	"5"
"495"	"AT1G65170.1"	"At1g65170"	"putative ubiquitin-specific protease"	"soluble or peripheral protein"	"0"
"496"	"AT1G65290.1"	"At1g65290"	"mitochondrial acyl carrier protein (AtmtACP2)"	"soluble or peripheral protein"	"0"
"497"	"AT1G65540.1"	"At1g65540"	"putative mitochondrial ribosome docking factor (AtLETM2/AtMdm38-2)"	"membrane protein"	"3"
"498"	"AT1G65630.1"	"At1g65630"	"putative Deg-type protease (AtDeg3)"	"soluble or peripheral protein"	"0"
"499"	"AT1G65770.1"	"At1g65770"	"putative F-BOX substrate adaptor component of SCF E3 ubiquitin ligase complex (AtAMR1)"	"soluble or peripheral protein"	"0"
"500"	"AT1G65950.1"	"At1g65950"	"putative ABC1-type atypical kinase (AtABC1K14)"	"soluble or peripheral protein"	"0"
"501"	"AT1G66130.1"	"At1g66130"	"putative GFO/IDH/MocA-type oxidoreductase"	"soluble or peripheral protein"	"0"
"502"	"AT1G66345.1"	"At1g66345"	"putative mitochondrial group-II-intron splicing factor (AtMISF26)"	"soluble or peripheral protein"	"0"
"503"	"AT1G66520.1"	"At1g66520"	"putative methionyl-tRNA formyltransferase"	"soluble or peripheral protein"	"0"
"504"	"AT1G66540.1"	"At1g66540"	"cytochrome P450 monooxygenase (AtCYP81D10)"	"membrane protein"	"2"
"505"	"AT1G66590.1"	"At1g66590"	"putative Cox19-like protein, involved in cytochrome c oxidase assembly (AtCOX19-1)"	"soluble or peripheral protein"	"0"
"506"	"AT1G67350.1"	"At1g67350"	"putative plant-specific component P1 of NADH dehydrogenase complex (AtP1)"	"soluble or peripheral protein"	"0"
"507"	"AT1G67400.1"	"At1g67400"	"putative ELMO/CED-12-like phagocytosis and cell motility protein"	"soluble or peripheral protein"	"0"
"508"	"AT1G67440.1"	"At1g67440"	"putative organelle ribosome assembly GTPase (AtRsgA1)"	"soluble or peripheral protein"	"0"
"509"	"AT1G67460.1"	"At1g67460"	"putative organelle ribosome assembly GTPase (AtRsgA2)"	"soluble or peripheral protein"	"0"
"510"	"AT1G67480.1"	"At1g67480"	"putative F-BOX substrate adaptor of SCF ubiquitin protein ligase complex"	"soluble or peripheral protein"	"0"
"511"	"AT1G67540.1"	"At1g67540"	"protein of unknown function"	"membrane protein"	"3"
"512"	"AT1G67620.1"	"At1g67620"	"putative (mammal MALSU)-like organelle ribosome assembly factor"	"soluble or peripheral protein"	"0"
"513"	"AT1G67690.1"	"At1g67690"	"putative Thimet-type oligopeptidase (AtTOPL/AtPSPM3)"	"membrane protein"	"2"
"514"	"AT1G67785.1"	"At1g67785"	"putative component SGDH/NDUFB5 of NADH dehydrogenase beta subcomplex (AtSGDH)"	"membrane protein"	"0"
"515"	"AT1G68110.1"	"At1g68110"	"putative clathrin assembly protein (AtPICALM9c/AtClAP)"	"membrane protein"	"1"
"516"	"AT1G68280.1"	"At1g68280"	"putative thioesterase"	"soluble or peripheral protein"	"0"
"517"	"AT1G68350.1"	"At1g68350"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"518"	"AT1G68430.1"	"At1g68430"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"519"	"AT1G68526.1"	"At1g68526"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"520"	"AT1G68680.1"	"At1g68680"	"putative candidate component of complex I NADH:ubiquinone oxidoreductase"	"membrane protein"	"2"
"521"	"AT1G68710.1"	"At1g68710"	"putative P4-type ATPase component of phospholipid flippase complex (AtALA9)"	"membrane protein"	"11"
"522"	"AT1G68845.1"	"At1g68845"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"523"	"AT1G68960.1"	"At1g68960"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"524"	"AT1G68980.1"	"At1g68980"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"525"	"AT1G68990.1"	"At1g68990"	"mitochondrial DNA-dependent RNA polymerase (AtRpoTm/AtRpoT1)"	"soluble or peripheral protein"	"0"
"526"	"AT1G69020.1"	"At1g69020"	"putative prolyl endopeptidase"	"soluble or peripheral protein"	"0"
"527"	"AT1G69210.1"	"At1g69210"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"528"	"AT1G69290.1"	"At1g69290"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"529"	"AT1G69320.1"	"At1g69320"	"putative precursor of CLE regulatory peptide (AtCLE10)"	"soluble or peripheral protein"	"0"
"530"	"AT1G69350.1"	"At1g69350"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"531"	"AT1G69380.1"	"At1g69380"	"protein of unknown function required for cell division, RETARDED ROOT GROWTH (AtRRG)"	"membrane protein"	"1"
"532"	"AT1G69520.1"	"At1g69520"	"putative ubiE-like methyltransferase"	"soluble or peripheral protein"	"0"
"533"	"AT1G69750.1"	"At1g69750"	"putative Cox19-like protein, involved in cytochrome c oxidase assembly (AtCOX19-2)"	"soluble or peripheral protein"	"0"
"534"	"AT1G70150.1"	"At1g70150"	"protein of unknown function, contains MYND-type zinc finger domain"	"soluble or peripheral protein"	"0"
"535"	"AT1G70190.1"	"At1g70190"	"putative component bL12M of large subunit of mitochondrial ribosome (AtmtRPL12b)"	"soluble or peripheral protein"	"0"
"536"	"AT1G70209.1"	"At1g70209"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"537"	"AT1G70340.1"	"At1g70340"	"putative microtubule-associated protein (AtCORD5)"	"soluble or peripheral protein"	"0"
"538"	"AT1G70350.1"	"At1g70350"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"539"	"AT1G70550.1"	"At1g70550"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"540"	"AT1G70590.1"	"At1g70590"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"541"	"AT1G70780.1"	"At1g70780"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"542"	"AT1G70895.1"	"At1g70895"	"putative precursor of CLE regulatory peptide (AtCLE17)"	"soluble or peripheral protein"	"0"
"543"	"AT1G71060.1"	"At1g71060"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"544"	"AT1G71260.1"	"At1g71260"	"Whirly-type transcription factor (AtWHY2)"	"soluble or peripheral protein"	"0"
"545"	"AT1G71310.1"	"At1g71310"	"protein involved in DNA double strand break repair (AtRAD52-1)"	"soluble or peripheral protein"	"0"
"546"	"AT1G71340.1"	"At1g71340"	"putative glycerophosphoryl diester phosphodiesterase (AtGDPD4)"	"membrane protein"	"1"
"547"	"AT1G71360.1"	"At1g71360"	"putative mid-SUN-type protein of unknown function (AtSUN4)"	"membrane protein"	"3"
"548"	"AT1G71730.1"	"At1g71730"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"549"	"AT1G71850.1"	"At1g71850"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"550"	"AT1G72020.1"	"At1g72020"	"putative mitochondrial respiratory chain complex IV subunit (AtCoxX3)"	"membrane protein"	"1"
"551"	"AT1G72070.1"	"At1g72070"	"putative Hsp40/DnaJ molecular co-chaperone (AtDjC74)"	"soluble or peripheral protein"	"0"
"552"	"AT1G72141.1"	"At1g72141"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"553"	"AT1G72170.1"	"At1g72170"	"putative (yeast Mic10)-like component of MICOS complex (AtMio10-1)"	"membrane protein"	"2"
"554"	"AT1G72190.1"	"At1g72190"	"putative 2-hydroxyacid dehydrogenase"	"soluble or peripheral protein"	"0"
"555"	"AT1G72330.1"	"At1g72330"	"putative alanine aminotransferase (AtAlaAT2/AtAOAT3)"	"soluble or peripheral protein"	"0"
"556"	"AT1G72420.1"	"At1g72420"	"putative (animal NDUFAF1)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"557"	"AT1G72430.1"	"At1g72430"	"putative SAUR-type hormone signal effector (AtSAUR78)"	"soluble or peripheral protein"	"0"
"558"	"AT1G72530.1"	"At1g72530"	"putative organellar RNA editing factor protein (AtMORF7/AtRIP7)"	"soluble or peripheral protein"	"0"
"559"	"AT1G72700.1"	"At1g72700"	"putative P4-type ATPase component of phospholipid flippase complex (AtALA5)"	"membrane protein"	"12"
"560"	"AT1G72750.1"	"At1g72750"	"component of mitochondrial TIM17:23 translocase complex and(!) of NADH...(AtTIM23-2)"	"membrane protein"	"4"
"561"	"AT1G72820.1"	"At1g72820"	"putative MtcC-type unspecified transporter"	"membrane protein"	"6"
"562"	"AT1G72890.1"	"At1g72890"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"563"	"AT1G72990.1"	"At1g72990"	"putative beta-galactosidase (AtBGAL17)"	"membrane protein"	"1"
"564"	"AT1G73210.1"	"At1g73210"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"565"	"AT1G73400.1"	"At1g73400"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"566"	"AT1G73500.1"	"At1g73500"	"putative MAP kinase kinase, MAPKK (AtMKK9/AtMAPKK9)"	"soluble or peripheral protein"	"0"
"567"	"AT1G73580.1"	"At1g73580"	"putative mediator of PYR/PYL abscisic acid receptor docking to membrane (AtCAR3)"	"soluble or peripheral protein"	"0"
"568"	"AT1G73602.1"	"At1g73602"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"569"	"AT1G73770.1"	"At1g73770"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"570"	"AT1G73940.1"	"At1g73940"	"putative component mL106 of large subunit of mitochondrial ribosome (AtmL106)"	"soluble or peripheral protein"	"0"
"571"	"AT1G73980.1"	"At1g73980"	"putative TTM-type metal-dependent tripolyphosphatase (AtTTM1)"	"membrane protein"	"2"
"572"	"AT1G74088.1"	"At1g74088"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"573"	"AT1G74120.1"	"At1g74120"	"putative mTERF-type protein of unknown function (AtmTERF15)"	"soluble or peripheral protein"	"0"
"574"	"AT1G74130.1"	"At1g74130"	"putative rhomboid-type serine peptidase (AtRBL16)"	"membrane protein"	"6"
"575"	"AT1G74230.1"	"At1g74230"	"putative ORRM-type organelle RNA editing factor (AtORRM4/AtRBG5)"	"soluble or peripheral protein"	"0"
"576"	"AT1G74240.1"	"At1g74240"	"putative MtcC-type unspecified transporter"	"membrane protein"	"6"
"577"	"AT1G74260.1"	"At1g74260"	"formyl glycine amidine ribonucleotide (FGAM) synthetase (AtPUR4)"	"soluble or peripheral protein"	"0"
"578"	"AT1G74280.1"	"At1g74280"	"putative alpha/beta-fold-type hydrolase"	"membrane protein"	"3"
"579"	"AT1G74290.1"	"At1g74290"	"putative alpha/beta-fold-type hydrolase"	"membrane protein"	"2"
"580"	"AT1G74400.1"	"At1g74400"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"581"	"AT1G74600.1"	"At1g74600"	"putative mitochondrial nad7/atp1 mRNA editing factor (AtOTP87)"	"soluble or peripheral protein"	"0"
"582"	"AT1G74900.1"	"At1g74900"	"putative mitochondrial nad2 mRNA splicing factor (AtOPT43)"	"soluble or peripheral protein"	"0"
"583"	"AT1G74940.1"	"At1g74940"	"putative FLZ-type SnRK1 kinase-interacting protein of unknown function (AtFLZ13)"	"soluble or peripheral protein"	"0"
"584"	"AT1G75110.1"	"At1g75110"	"putative arabinosyltransferase (AtRRA2)"	"membrane protein"	"2"
"585"	"AT1G75200.1"	"At1g75200"	"putative phenylalanine specific tRNA modification enzyme"	"soluble or peripheral protein"	"0"
"586"	"AT1G75380.1"	"At1g75380"	"putative BBD-type bifunctional DNA nuclease & RNA nuclease (AtBBD1)"	"soluble or peripheral protein"	"0"
"587"	"AT1G75580.1"	"At1g75580"	"putative SAUR-type hormone signal effector (AtSAUR51)"	"soluble or peripheral protein"	"0"
"588"	"AT1G75590.1"	"At1g75590"	"putative SAUR-type hormone signal effector (AtSAUR52)"	"soluble or peripheral protein"	"0"
"589"	"AT1G75717.1"	"At1g75717"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"590"	"AT1G76060.1"	"At1g76060"	"putative NADH-ubiquinone oxidoreductase complex assembly factor (AtCIAF1)"	"soluble or peripheral protein"	"0"
"591"	"AT1G76065.1"	"At1g76065"	"putative component of the NADH-ubiquinone oxidoreductase complex I"	"soluble or peripheral protein"	"0"
"592"	"AT1G76200.1"	"At1g76200"	"putative component AGGG/NDUFB2 of NADH dehydrogenase beta subcomplex (AtAGGG)"	"membrane protein"	"1"
"593"	"AT1G76240.1"	"At1g76240"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"594"	"AT1G76280.1"	"At1g76280"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"595"	"AT1G76730.1"	"At1g76730"	"putative 5,10-methenyltetrahydrofolate synthetase"	"soluble or peripheral protein"	"0"
"596"	"AT1G77010.1"	"At1g77010"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"597"	"AT1G77170.1"	"At1g77170"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"598"	"AT1G77240.1"	"At1g77240"	"putative AMP-dependent synthetase/ligase (AtAAE4)"	"soluble or peripheral protein"	"0"
"599"	"AT1G77360.1"	"At1g77360"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"600"	"AT1G77405.1"	"At1g77405"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"601"	"AT1G77660.1"	"At1g77660"	"protein of unknown function, contains MORN-type repeats"	"membrane protein"	"2"
"602"	"AT1G77670.1"	"At1g77670"	"putative carbon-sulfur lyase"	"soluble or peripheral protein"	"0"
"603"	"AT1G77750.1"	"At1g77750"	"putative component uS13M of small subunit of mitochondrial ribosome (AtmtRPS13)"	"soluble or peripheral protein"	"0"
"604"	"AT1G77910.1"	"At1g77910"	"protein of unknown function"	"membrane protein"	"1"
"605"	"AT1G77930.1"	"At1g77930"	"putative Hsp40/DnaJ molecular chaperone (AtDjC75)"	"soluble or peripheral protein"	"0"
"606"	"AT1G78010.1"	"At1g78010"	"putative (bacteria TrmE)-like GTPase (AtTrmE)"	"soluble or peripheral protein"	"0"
"607"	"AT1G78690.1"	"At1g78690"	"putative lyso-glycerophospholipid acyltransferase (AtNAPES)"	"soluble or peripheral protein"	"0"
"608"	"AT1G78890.1"	"At1g78890"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"609"	"AT1G78910.1"	"At1g78910"	"putative RNA pseudouridylate synthase"	"soluble or peripheral protein"	"0"
"610"	"AT1G79010.1"	"At1g79010"	"putative component TYKY of NADH dehydrogenase complex (AtTYKY-1)"	"soluble or peripheral protein"	"0"
"611"	"AT1G79120.1"	"At1g79120"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"612"	"AT1G79130.1"	"At1g79130"	"putative SAUR-type hormone signal effector (AtSAUR40)"	"soluble or peripheral protein"	"0"
"613"	"AT1G79220.1"	"At1g79220"	"putative mTERF-type protein of unknown function (AtmTERF17)"	"soluble or peripheral protein"	"0"
"614"	"AT1G79230.1"	"At1g79230"	"putative mercaptopyruvate sulfurtransferase (AtMST1/AtRDH1/AtSTR1)"	"soluble or peripheral protein"	"0"
"615"	"AT1G79380.1"	"At1g79380"	"ubiquitin E3 ligase, mediates multiubiquitin chain formation (AtRGLG4)"	"soluble or peripheral protein"	"0"
"616"	"AT1G79390.1"	"At1g79390"	"protein of unknown function"	"membrane protein"	"1"
"617"	"AT1G79420.1"	"At1g79420"	"putative BDR effector of ROP GTPase (AtBDR2)"	"soluble or peripheral protein"	"0"
"618"	"AT1G79430.1"	"At1g79430"	"putative PHR1-like transcription factor, WOODY (AtPHL14/AtFE/AtAPL/AtWDY)"	"soluble or peripheral protein"	"0"
"619"	"AT1G79440.1"	"At1g79440"	"putative succinate-semialdehyde dehydrogenase (AtSSADH1/AtALDH5F1)"	"soluble or peripheral protein"	"0"
"620"	"AT1G79490.1"	"At1g79490"	"putative organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"621"	"AT1G79540.1"	"At1g79540"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"622"	"AT1G79900.1"	"At1g79900"	"mitochondrial arginine-ornithine translocator (AtBAC2/AtmBAC2)"	"membrane protein"	"6"
"623"	"AT1G79950.1"	"At1g79950"	"putative (yeast RAD3)-like DNA-binding helicase (AtRTEL1)"	"soluble or peripheral protein"	"0"
"624"	"AT1G80150.1"	"At1g80150"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"625"	"AT1G80230.1"	"At1g80230"	"subunit of cytochrome c oxidase (AtCOX5B-2)"	"soluble or peripheral protein"	"0"
"626"	"AT1G80270.1"	"At1g80270"	"putative mitochondrial RNA editing factor (AtPPR596)"	"soluble or peripheral protein"	"0"
"627"	"AT1G80550.1"	"At1g80550"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"628"	"AT1G80700.1"	"At1g80700"	"putative membrane protein of unknown function"	"membrane protein"	"1"
"629"	"AT1G80720.1"	"At1g80720"	"putative (yeast MAM33)-like mitochondrial protein of unknown function"	"soluble or peripheral protein"	"0"
"630"	"AT1G80865.1"	"At1g80865"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"631"	"AT1G80880.1"	"At1g80880"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"632"	"AT1G80980.1"	"At1g80980"	"putative membrane protein of unknown function"	"membrane protein"	"1"
"633"	"AT2G01021.1"	"At2g01021"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"634"	"AT2G01023.1"	"At2g01023"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"635"	"AT2G01090.1"	"At2g01090"	"putative 8 kDa hinge protein component of cytochrome bc1 complex (AtQCR6-2)"	"soluble or peripheral protein"	"0"
"636"	"AT2G01390.1"	"At2g01390"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"soluble or peripheral protein"	"0"
"637"	"AT2G01460.1"	"At2g01460"	"putative phosphoribulo-/uridine-kinase-type protein"	"membrane protein"	"3"
